,Resting Heart Rate
Jan 3,62
Jan 10,61
Jan 17,60
Jan 24,61
Jan 31,60
Feb 7,62
Feb 14,62
Feb 21,62
Feb 28,58
Mar 6,58
Mar 13,61
Mar 20,59
Mar 27,58
Apr 3,63
Apr 10,58
Apr 17,58
Apr 24,59
May 1,58
May 8,60
May 15,60
May 22,60
May 29,56
Jun 5,60
Jun 12,59
Jun 19,60
Jun 26,66
Jul 3,60
Jul 10,57
Jul 17,56
Jul 24,59
Jul 31,57
Aug 7,60
Aug 14,61
Aug 21,62
Aug 28,60
Sep 4,58
Sep 11,59
Sep 18,58
Sep 25,58
Oct 2,58
Oct 9,58
Oct 16,57
Oct 23,57
Oct 30,57
Nov 6,59
Nov 13,56
Nov 20,59
Nov 27,59
Dec 4,59
Dec 11,58
Dec 18,59
Dec 25,58
Jan 1,59
Jan 8,55
Jan 15,56
Jan 22,56
Jan 29,56
Feb 5,57
Feb 12,58
Feb 19,56
Feb 26,54
Mar 5,56
Mar 12,57
Mar 19,56
Mar 26,55
Apr 2,55
Apr 9,54
Apr 16,53
Apr 23,56
Apr 30,58
May 7,57
